[02.12.07 15:22] q :  Albo duński dynamit :) . 
[27.11.07, 0:14] maver :  *fala*: jak mi do głowy nie przyjdzie nie chodzić o 3 w nocy z portfelem w ręce w dziwnej dzielnicy, to ktoś mi przekształci twarz by go dostać, rajt? W każdym miejscu o czymś trzeba pamiętać, u nas o dresach, tam o tym, że religia ma w ich kulturze o wiele większe znaczenie niż w naszej i są przewrażliwieni. A nieznajomość prawa nie zwalnia od odpowiedzialności. 
[27.11.07, 0:00] desp :  O, to, to. 
[26.11.07, 23:57] fala :  łatwo wam gadać, bo to nie was będą bić, za coś co wam do głowy nie przyszło 
[26.11.07, 23:46] maver :  *lispozord*: akurat imię Muhammad ma dość konkretne znaczenie ("czcigodny") i o ile nadane człowiekowi na cześć Proroka jest ok, to nadawanie go zwierzęciu/maskotce/rzeczy może razić tych, którzy utożsamiają to imie z najważniejszym człowiekiem w dziejach ludzkości. Znam parę osób, które poczułoby się urażonych, gdybym nazwał suczkę "Przenajświętsza zawsze dziewica", tyle, że katolicy obrazę ich uczuć muszą przebaczyć zamiast chłostać winnego. Kim jesteśmy, by narzucać innym naszą wspaniałą, oświeconą, europejską kulturę? Jak się jedzie do kraju o innych zwyczajach to warto je poznać, a jak się tego nie zrobi - trudno, każdy odpowiada za swoją głupotę. 
[26.11.07, 23:38] Epyon :  And good ol' boys were drinking whiskey and rye 
[26.11.07, 23:34] Paczesiowa :  Drove my Chevy to the levee But the levee was dry 
[26.11.07, 23:25] nyquist :  bye bye PM 
[26.11.07, 23:18] Sulej :  [Stawiam browca] 
[26.11.07, 23:05] Jachu :  Dobre: Do prezydenta Dutkiewicza wyślę SMS-a, żeby się nie przejmował. (L. Pacholski) 
[26.11.07, 22:48] Sulej :  Pewnie na Madagaskarze kartofle się nie spodobały ;) 
[26.11.07, 22:24] BIGos :  Było chyba do przewidzenia - ta przegrana. Wszyscy to olali, a do tego koreańce naspraszali kumpli na głosowanie. Szkoda tylko, że Wrocław dostał tylko 13 głosów... Chyba zasługiwał na więcej. 
[26.11.07, 22:03] kamil :  ..przegralismy expo 
[26.11.07, 22:02] Sulej :  Edwin chyba Expo, bo Euro mamy :P 
[26.11.07, 21:58] xberus :  @gaborek: również gratuluje :) 
[26.11.07, 21:57] xberus :  To było spodziewane... ale dopiero w drugiej turze :( 
[26.11.07, 21:55] Edwin :  EXPO 2012 - Wrocław odpadł w I turze [link] <http://wiadomosci.gazeta.pl/Wiadomosci/1,80273,4708878.html> 
[26.11.07, 21:53] rzezioo :  pokazuja komisji polska potrawe narodowa: koperte 
[26.11.07, 21:46] pozytywista :  Kasa: Polacy prąd wyłączyli. To dobrze wróży;). 
[26.11.07, 21:36] desp :  W najbliższym czasie urodziny obchodzą: ęą(19) g.moskal(24) rzezioo(21) Tener(20) 
[26.11.07, 21:28] Kasa :  "Zepsuł się telebim na stoisku Koreańczyków. Nie wiadomo, co dzieje się w sali. " - oho, ustawiaja wyniki :P 
[26.11.07, 21:24] Nimrodel :  @gaborek: gratulacje :) 
[26.11.07, 21:24] kshaczek :  informacja po ipmsg co przyszla w akademiku (taki lanchat): szukamy chętnej dziewczyny na urodziny dla kumpla (prawiczek), możemy zapłacić... jest jakaś chętna? pełna anonimowość 
[26.11.07, 21:17] yanoo :  [link] <http://www.0x000000.com/?i=482> The real criminals 
[26.11.07, 21:10] gaborek :  [link] <http://gaborek.pl/pliki/pudlo.jpg> 25 listopada - I miejsce na turnieju tańca towarzyskiego - partnerka i ja :] 
[26.11.07, 20:36] Sulej :  dzieki :) ( 
[26.11.07, 20:35] Sulej :  jeżeli to nie jest fizyczny problem, to prosiłbym o włączenie serwera ET :P 
[26.11.07, 20:11] BIGos :  podobają mi się te kawałki o długości oklasków ;) 
[26.11.07, 20:07] Marta :  tu [link] <http://miasta.gazeta.pl/wroclaw/1,35751,4708878.html> ? 
[26.11.07, 19:48] nyquist :  a ja pierdole tego niedzwiadka :D jest gdzies temat o EXPO? 
[26.11.07, 19:45] lispozord :  Jeśli masz w dupie dwumetrowy, żelazny pręt, to owszem, jest to zniewagą, podobnie jak cała masa innych rzeczy. 
[26.11.07, 19:37] rzezioo :  nazwanie po kims czlowieka to okazanie szacunku. nazwanie pluszaka(sprzecznego z islamem obrazu zwierzecia) - juz nie do konca 
[26.11.07, 19:28] lispozord :  Poza tym, gdybyś raczył przeczytać artykuł, to byś wiedział, że jeden z uczniów miał na imię Mahomet, więc to imię niekoniecznie oznacza "prorok Islamu". 
[26.11.07, 19:19] yanoo :  nie wiem jak ma na imię mama Mietka, ale podejrzewam, że by mu zwisało, gdyby ktoś nazwal swojego psiaka tym imieniem 
[26.11.07, 19:15] Siledhel :  załóżcie sobie jakiś temat 
[26.11.07, 19:14] Nimrodel :  przypuszczam, że nie skazałby tej osoby na 40 batów i pół roku więzienia za zniewagę 
[26.11.07, 19:11] rzezioo :  desp mowiac bardziej po ludzku. gdyby ktos przyszedl do ciebie do domu i powiedzial ze nazwie swojego psa "matka despa" nie mialbys ochoty mu pierdolnac? 
[26.11.07, 19:10] rzezioo :  uwazam ze kazdy narod ma prawo bronic swojej godnosci. a szczegolnie we wlasnym kraju. 
[26.11.07, 19:06] ponton :  make tea, not love! 
[26.11.07, 19:03] desp :  A próbowałeś przeczytać artykuł? 
[26.11.07, 19:01] Nimrodel :  make love, not war ;) 
[26.11.07, 18:54] rzezioo :  to nie jest prowokacja do flame'a. po prostu mowie co mysle 
[26.11.07, 18:49] Mr_C :  chcesz flame'a w shoucie? a gó**o! nie będę komentował Twoich wynurzeń 
[26.11.07, 18:41] rzezioo :  jakos jej nie wspolczuje. btw. co ma milosc i tolerancja do walki z chamstwem? 
[26.11.07, 18:39] orcus :  kurde... nigdy wiecej nie machać po pijaku ludziom z apratarem... powtórze se 100 razy to może zapamiętam... 
[26.11.07, 18:32] desp :  [link] <http://wiadomosci.gazeta.pl/Wiadomosci/1,80269,4708264.html> -- religia miłości i tolerancji! 
[26.11.07, 18:16] lispozord :  Z partii kshaczka chyba: [link] <http://ii.yebood.com/rozne/2007-09-30-integracja/dsc02234.jpg> ;) 
[26.11.07, 15:39] Singer :  [link] <http://www.tvn24.pl/117-474a8870> podtytuł to jak dobrze pedałować 
[26.11.07, 13:32] pawlik :  Kadarka to bardzo dobre wino. 
[26.11.07, 13:29] yanoo :  to ii to niezła żulernia [link] <http://ii.yebood.com/rozne/2007-09-30-integracja/dsc02277.jpg> 
[26.11.07, 13:22] Paczesiowa :  biale liscie 
[26.11.07, 12:47] Mr_C :  *maggot*, czy to jakiś humor abstrakcyjny biorąc pod uwagę datę? [link] <http://ii.yebood.com/viewtopic.php?p=5244#5244> 
[26.11.07, 12:28] yanoo :  to znaczy, że wiesz, że takie istnieją, jak z grubsza wyglądają i skąd taka ich nazwa. I potrzebujesz 5 razy mniej czasu, by sobie przypomnieć szczegóły, niż ktoś inny opanować ich działanie od zera :> 
[26.11.07, 12:09] roolin :  wiesz :> 
[26.11.07, 11:57] sahar :  zastanawiam się czy ja moglbym podniesc reke. W sensie czy wiem co to sa drzewa r-b. Co prawade uczylem się o nich 3 lata temu, nawet wiedzialem WTEDY jak dzialaja. Ale teraz w ogole. Czy to znaczy ze wiem co to sa drzewa czerwono-czarne? Pytam z ciekawosci 
[26.11.07, 11:11] Mr_C :  tak tam wszyscy są zapatrzeni w AVeLki? :P 
[26.11.07, 11:10] roolin :  no to jednak mit II się utrzymuje :> 
[26.11.07, 11:08] fala :  wlasnie na wykladzie podnioslem reke jako jedna z 8 osob, ze wiem co to sa drzewa czerwono-czarne. a potem jako jedyna, ze je kiedys implementowalem. kurde, tam bylo ze 100 osob :O 
[26.11.07, 10:40] Mr_C :  eee, koduj jest od kodować :P 
[26.11.07, 10:00] sahar :  [link] <http://www.dziennik.pl/swiat/article85229/Wybory_Miss_Miny_Przeciwpiechotnej.html> - nietypowe wybory miss 
[26.11.07, 8:18] gaborek :  :D 
[26.11.07, 7:41] roolin :  koduj :> 
[26.11.07, 4:57] Mr_C :  Czy tryb rozkazujący od kodzić to kodź? 
[26.11.07, 4:55] Mr_C :  To nie koncert życzeń ;) 
[26.11.07, 4:14] d* :  Ekhm... Chciałbym spać od dwóch godzin ;-) 
[26.11.07, 2:04] fala :  aktywacja terenów, infrastruktura.. estymuję, że strasznie pieprzycie :P 
[26.11.07, 1:50] Sulej :  biorąc pod uwage temat tego Expo infrastruktura mogłaby być bardzo przydatna mieszkańcom, nie mówiąc o aktywowaniu terenów na któych miało by się odbyć... 
[25.11.07, 23:20] roolin :  Chociaż z drugiej strony to i bez EXPO i bez ME Wrocław idzie w tym wzlędzie w dobrym kierunku :) 
[25.11.07, 23:20] @ :  pierwsze chyba było w Brukseli i im zostało po Expo atomium ;) 
[25.11.07, 23:19] roolin :  Tylko infrastruktura? TYLKO? Ja nie wiem czy obecnia dla Wrocławia jest coś ważniejszego niż infrastruktura... 
[25.11.07, 23:14] d* :  A czy ktokolwiek wie kto organizował wystawę tematyczną (bo o taką ubiega się Wrocław) w poprzednich edycjach? Wątpie, żeby wiele ludziom zostawało w głowach po Expo, a jak komuś zostaje to jest to raczej marginalne. 
[25.11.07, 22:41] Sulej :  myśle, że EXPO zostawi po sobie nie tylko infrastrukture i worek z kasą, a chociażby jeszcze dobrą markę miasta i przyciągać będzie turystów, inwestorów i innych ludziów :P 
[25.11.07, 22:37] @ :  bo bylaby to inwestycja dlugoteminowa a EXPO poza infrastrukturą i workiem kasy po sobie dużo nie zostawi. Ale mysle, że JMA w tej kwestii ma dużo racji, biurokracja i brak specyfikacji mogą zepsuć idę EIT. 
[25.11.07, 22:16] nirvanka :  [link] <http://wiadomosci.gazeta.pl/Wiadomosci/1,80273,4704073.html?skad=rss> pocztówka z Irlandii 
[25.11.07, 22:16] roolin :  @, niby czemu się bardziej liczy? I dla kogo? 
[25.11.07, 22:15] rraptorr :  niektórzy są mniej entuzjastyczni w tej kwestii [link] <http://co-wtorek.salon24.pl/45205,index.html> 
[25.11.07, 21:53] @ :  ale przynajmniej Wro jest coraz bliżej EIT [link] <http://bleh.pl/EIT> , co chyba liczy się bardziej niż EXPO 
[25.11.07, 21:06] yanoo :  [link] <http://wiadomosci.onet.pl/1647279%2c69%2citem.html> jedziemy? 
[25.11.07, 20:59] Paczesiowa :  to fajna mial wycieczke, bo i tak nic nie zalatwil 
[25.11.07, 20:54] Bushik :  ale jak trzeba bylo gdzies pojechac w sprawie Euro to przynajmniej ktos pojechal 
[25.11.07, 19:05] yanoo :  o Euro mówiono w tym samym tonie ;> 
[25.11.07, 18:10] msz :  dzień wyborem to nawet jakby JPII wskrzesili i wysłali to by nie pomogło. 
[25.11.07, 18:08] Paczesiowa :  a po co? i tak juz nie ma szans 
[25.11.07, 17:46] Sulej :  heh... no to chyba nie będzie EXPO we Wrocławiu, bo PO ma to tak samo w dupie jak PiS... Jak nawet Borusewiczowi nie chce się jechać do Paraży nie mówiąc o Tusku, albo Jaśnie Nam Panującemu Lechowi :/ 
[25.11.07, 17:42] Sulej :  nie ma bata jade do Pragi i Bratysławy :P 
[25.11.07, 17:31] Kasa :  Dobrze ze nie mamy znowu jakiegoś Zakałkazia 
[25.11.07, 17:24] eth :  damy radę 
[25.11.07, 17:21] Kasa :  Czechy; Polska; Irlandia Płn; Słowacja; Słowenia; San Marino - śmieszna słowiańska grupa :) 
[25.11.07, 10:59] Hegi :  dzieki wielkie, panowie :) 
[25.11.07, 10:25] Mr_C :  e, przeliczyłem się 
[25.11.07, 10:21] Mr_C :  kto pierwszy ;) mój za 2min będzie 
[25.11.07, 10:20] desp :  Lustracja w toku. 
[25.11.07, 9:25] Hegi :  czy mogby ktos zmirrorwac jdk_1.6.0_03, wersje dla windowsa, ze strony suna? Probuje sciagnac od kilku dni i zawsze idzie w tempie 3 kb/s 
[25.11.07, 8:23] gaborek :  :] 
[25.11.07, 1:32] Mr_C :  Informacja dla Castoramowych Haxorów - Hasło na bieżący miesiąc to Sanitarny3 
[25.11.07, 0:23] rraptorr :  A jak pani powiedziała "a potem dziennikarze robią z tego prace magisterskie" to drugi rząd wybuchł śmiechem :> 
[25.11.07, 0:22] BIGos :  MoD - bedzie ta rozmowa moze na jakims youtube? a jesli nie, to xhetnie poczytalbym o tym szerzej ;) 
[25.11.07, 0:19] MasterOfDisaster :  Rozmowa z udziałem JMa wyglądała dziwnie: JMa starał się pokazać swoją wyższość nad pismakami uczestniczacymi w rozmowie i twierdzącymi, że blogi są "ę i ą", niestety owe pismaki były tak niskiego kalibru, że p. Marcinkowski nie miał najmniejszego problemu we wskazaniu im (i publiczności) wewnętrznej sprzeczności ich rozumowania odnośnie szeroko rozumianym blogom. JMa obstawał skutecznie w zdaniu, że to, iż ktoś pisze bloga ma jedynie znaczenie dla samego autora bloga, nie zaś dla jego czytelników. 
[24.11.07, 19:42] pawlik :  Yup. ;s 
[24.11.07, 19:28] xberus :  Strona II znowu niedysponowana? 
[24.11.07, 16:25] Railman :  Ja wohl, mein Fuhrer! 
[24.11.07, 16:17] kshaczek :  No znowu! To zdjecie bedzie mnie przesladowac. eh... no nic, 5 piw wam! 
[24.11.07, 15:56] Paczesiowa :  10 piw 
[24.11.07, 15:53] d* :  To już w ogóle jakiś horror jest. Już lepiej by było "5 piw sequel". 
[24.11.07, 15:48] roolin :  "5 piw 'drugie'" 
[24.11.07, 15:33] d* :  Tak, zastanawiałem się chwile czy to nie jest zbyt dwuznaczne, ale "5 piw 2" wyglądało jeszcze gorzej ;-) 
[24.11.07, 15:32] roolin :  ups, zrozumiałem II jako ii 
[24.11.07, 15:27] d* :  A to nie jest "5 piw I"? :> 
[24.11.07, 15:26] roolin :  nie, tutaj: [link] <http://ii.yebood.com/rozne/2006-11+12-mieszane/51.jpg> 
[24.11.07, 15:20] d* :  "5 piw II"? [link] <http://ii.yebood.com/rozne/2006-11+12-mieszane/64.jpg> 
[24.11.07, 15:17] d* :  ;-) 
[24.11.07, 15:17] Paczesiowa :  jak pisze o javie to nie ma nic o pedofilii ! nie lacze gadania o interesach z przyjemnoscia 
[24.11.07, 15:06] Mr_C :  a potem Dziecięce Kolegium Karkonoskie w Jeleniej Górze? 
[24.11.07, 15:06] d* :  Jak się odzywasz to zawsze jest coś z pedofilią, nawet jak piszesz o javie :> 
[24.11.07, 15:01] Paczesiowa :  tym razem dowcip dotyczyl tytulu, nic z pedofilia nie bylo 
[24.11.07, 14:53] d* :  Powinieneś się cieszyć -- wiesz gdzie ich szukać... BTW, w ogóle przeczytałeś treść? :> 
[24.11.07, 14:13] Paczesiowa :  [link] <http://wiadomosci.onet.pl/1647057,11,item.html> Uniwersytet Dzieci w Onecie, jaki tytul! co dalej? Wyzsza Szkola Dzieci Neostrady ? 
[24.11.07, 14:05] gaborek :  ściema 
[24.11.07, 14:03] tumdum :  idiotyzm 
[24.11.07, 13:20] Paczesiowa :  i bardzo dobrze 
[24.11.07, 13:16] @ :  [link] <http://news.bbc.co.uk/2/hi/technology/7110024.stm> - bad news 
[24.11.07, 10:34] tumdum :  hiLander1: stare, juz wszyscy ogladali 
[24.11.07, 10:29] adi :  a jaki zakres materiału obowiązuje na połówce? ostatni wykład też? 
[24.11.07, 10:28] hiLander1 :  Good news evreryone! [link] <http://btjunkie.org/torrent/Futurama-Bender-s-Big-Score-2007-Dvdrip-Xvid-AC/40323aedbdd35d71c9874fd4eb2e30278e9be4f66845>  
[24.11.07, 3:24] Paczesiowa :  siusiak a co? ten z lewej to ty? kto by się takiego buraka po tobie spodziewal... 
[24.11.07, 0:38] d* :  wziąć nikt Ci nie zabrania ;> 
[23.11.07, 23:55] pawlik :  mozna wziac whitebooka? ;) 
[23.11.07, 23:42] ponton :  masz czas, żeby sobie wszystko dokładnie przemyśleć i udowodnić ;) 
[23.11.07, 23:26] af :  W terminarzu jest napisane ze egzamin polowkowy z logiki jest od 13 do 17 - 4 godziny na zrobienie zadan? 
[23.11.07, 20:32] MasterOfDisaster :  . 
[23.11.07, 19:06] sasik :  brzydki pacześ, brzydal 
[23.11.07, 18:44] desp :  :) 
[23.11.07, 18:36] ponton :  [link] <http://www.dziennik.pl/swiat/article85944/Zatonal_wycieczkowiec_na_Oceanie_Poludniowym.html> - rotfl, jaka nazwa statku 
[23.11.07, 17:42] ponton :  [link] <http://ii.yebood.com/rozne/2006-desp-grill/2325a.jpg> - desp, \m/ koszulka \m/ 
[23.11.07, 17:41] Paczesiowa :  [link] <http://ii.yebood.com/rozne/2007-09-30-integracja/male/dsc02261.jpg> co to za buractwo? 
[23.11.07, 17:37] Paczesiowa :  a co to jakas ujma browar od ciebie? gdyby to byl pawelek albo siusiak to bym napisal cos glupiego zebyscie mnie slisciowali do poziomu <2k a tak to dzieki za browca 
[23.11.07, 17:34] d* :  ja i teraz musisz z tym żyć :> 
[23.11.07, 17:30] Paczesiowa :  kto mi postawi dwutysiecznego browca? 
[23.11.07, 17:05] roolin :  że się tak kontrolnie zapytam: jakaś impreza się nie organizuje czasem dzisiaj?
[23.11.07, 16:22] Paczesiowa :  a info o takich pierdolach się roznosi szybciej wsrod nietechnicznych niz wiadomosc o istnieniu naszejklasy 
[23.11.07, 16:20] Paczesiowa :  to mozna szyfrowac wszystko rot13 i tak zwykly czlowiek nie rozszyfruje. natomiast zwykly czlowiek swietnie sobie radzi z dwukliknieciem na exeku ktory mu to proxy skonfigurjuje. 
[23.11.07, 16:17] rraptorr :  można, ale jaki procent zwykłych ludzi umie to zrobić? 
[23.11.07, 15:44] Paczesiowa :  mozna sobie postawic wlasne proxy ktore bedzie przejmowac chec odwiedzenia onetu, sciagac onet i w razie potrzeby sztucznie "klikac" a tobie serwowac onet wlasciwy. a zeby torrenty dzialaly (jesli ich nie blokuja) to dla pewnosci co godzine i tak sobie kliknie 
[23.11.07, 15:40] rraptorr :  jak niby? robia dostep do nety tylko przez ich proxy, reszta zablokowana, moga sobie wtedy wstawiac co chca i kiedy chca 
[23.11.07, 15:35] Paczesiowa :  nie sadze, za latwo obejsc 
[23.11.07, 15:24] rraptorr :  pewnie co jakiś czas będzie przez proxy wstawiana strona "to jest sieć miejska, kliknij ok aby kontynuowac" 
[23.11.07, 15:24] Paczesiowa :  ja bym stawial na to, ze po godzinie ci zacznie przekierowywac wszystko na strone z captcha 
[23.11.07, 15:16] lispozord :  Ciekawe na czym ma polegać ograniczenie zmuszające do "ręcznego" łączenia się z siecią. 
[23.11.07, 15:05] yanoo :  we Wrocławiu będzie więcej darmowego neta: [link] <http://webhosting.pl//kategorie/internet/2007_11/darmowy_internet_w_centrum_wroclawia>  
[23.11.07, 11:39] roolin :  bko, ale o kontrowersyjności świadczy też ilość jednych i drugi, jak będe miał chwile to jakąś zależność wymyśle ;) 
[23.11.07, 9:46] yanoo :  e tam, komentarze po Expose są już od dawna znane [link] <http://supergigant.blox.pl/2007/11/Komentarze-po-expose-przed-expose.html> ;) 
[23.11.07, 9:46] bko :  roolin: nie trudno napisać posta, który dostanie 0 browców i liści 
[23.11.07, 9:45] revo :  [link] <http://www.allegro.pl/item246034964.html> lol 
[23.11.07, 9:07] roolin :  Tusk na żywo: [link] <http://wiadomosci.gazeta.pl/Wiadomosci/1,80269,4699085.html> 
[23.11.07, 7:42] roolin :  nie zrozumiałeś :> kontrowersyjny czyli taki który ma prawie taką samą liczbę lisci co browców ;) 
[23.11.07, 7:39] Mr_C :  W Raporcie Mniejszości już by Cię tu z nami nie było 
[23.11.07, 7:39] Mr_C :  kontrowersyjność to pierwszy krok w stronę trollingu, a to z kolei prowadzi do bana :P 
[23.11.07, 7:35] roolin :  patrząc na browce i liście napisłem jednego z bardziej kontrowersyjnych postów na forum :D 
[23.11.07, 6:01] Erotyczny :  szujo ty 
[23.11.07, 3:53] Mr_C :  notesik < przy najbliższej okazji zliściować ero ;) 
[23.11.07, 2:35] Erotyczny :  dlatego dałem tu :D bo tak coś czułem ... 
[23.11.07, 2:07] revo :  Ero, gdzieś to już było afair :P 
[23.11.07, 2:03] Erotyczny :  what is emo [link] <http://pl.youtube.com/watch?v=-6Dmg_4ZA2Y&NR=1> 
[23.11.07, 1:22] Silent_Mark :  Sulej [Stawiam browca] 
[23.11.07, 1:06] sasik :  Przyszedł mail na gmaila, gmail się nie ładuje. Napisałem na shoucie. W końcu mail dotarł - 'nowa prywatna wiadomość na ii.yebood.com'... 
[23.11.07, 1:00] sasik :  że gadu nie działa, to się nie dziwię, ale żeby gmail? :/ 
[23.11.07, 0:23] BIGos :  lol? 
[22.11.07, 23:13] dsk :  Do kogo mam się zgłosić o przyjęcie do grupy studenci? Czy teraz odpowiedzialny za to jest bot_reklamowy? 
[22.11.07, 20:58] Sulej :  onet przynosi mi pierwsze plany wakacyjne [link] <http://muzyka.onet.pl/0,1645675,newsy.html> ;) Maiden! Maiden! Maiden! :) 
